prompt,Unnamed: 0,chosen,rejected,diff,source_index
(48 out,9486, of 30) Match or scarlight won't even make you question the title known, of 100) all star cast. Hal Schreeffer was clever at teaching numbers,9.840726852416992e-05,1581
(I'll indicate,4596, his special thing about writing he was an author).why their state supreme court Ni," that I prefer lighting in the castles),I'm not overly familiar with this movie",0.9921918966574594,766
(Rating: 21 by The Film,16854, Maven) <br /><br />Ever in the film do you see, Train).<|endoftext|>,0.0023659467697143,2809
"(Review in English,",5982," subtitles...!) Refer to ""Initially based on the classic, Toy Story Horror Movie"," by the way. ""Being a fan of this"" just isn't accurate).",0.9938420781400056,997
(SPOILERS A,15318,HEAD)!<br /><br />While the only Janeane Garofalo,HEAD) It's like watching a boxer's training sessions. Just look at these,0.0131876338273285,2553
(SPOILERS IN,2676, GLorye den Dare establishes awaaay too...*cheerful laugh," SCRIPT]: In Scary Movie, instead of chasing around like a pack of",0.004830002784729,446
(Some possible spoilers)<br,22512, /><br />Freelance music is mixed in with some of the garbage, /><br />I was bored watching this movie simply because it wasn't sad,0.0011896287323907,3752
(Spoil,2718,"ers!) In fact, although the girl had a pearl necklace, it turns out","ers: don't ask questions) That choice, were my only reason to watch",0.0073728434508666,453
(Spoiler,20970, Prompt)Two Brothers (Jo-Ann Lifson and Sheila Napalak,": almost as bad as it was, with the same actors and writing, though",0.9743898292072118,3495
(Spoilers galore,14970,"). In his drama, Paul Cstreet - Lava Man, Kaer (","!) Stendel is a gruff, pegtailed Latvian finally ready",0.0082894563674926,2495
"(Very light spoilers, maybe",15456," the book review above was unintentionally the worst, and all links in the other posts", a hint) and for various reasons a slight twist and turn of events is omitted,0.0010917483596131,2576
(aka:,2310," AIM's cartoon T.J.), and Church is a good example of the"," Neighbors - Very Grade), a special-effects splatter middle-aged black",0.021191656589508,385
(aka: BLOOD CAST,21924,"LE)). Anyway, the basic plot is actually pretty interesting. Delightfully Cuban","LE). While Lise wins the arrest-making contest, Liz (Rita",0.0049182176589965,3654
(aka: DEMONS III,8232,) is not a horror movie that is any sort of mindless action-thr,", Harry Potter, ""Beverly Hills Lights of Nary ANCIENT",0.954128470271826,1372
(p,12174,"-value<recipient>) equals a nice, gritty movie. But, this",". i have no idea how it compare to the sapphires, since",0.991103352280334,2029
(some,2844, brains!) but the guys ang o no way! should prove something but i'm," idiots didn't believe me), and the story and the characters are predictable.<br",4.382780753069994e-05,474
(various spoilers,21888,",) as well as sudden climatic climactic scenes.<br /><br />",") so this is not really a spoiler. February 22, 2002 The Rapture",0.0059542059898376,3648
* Some spoilers *<,14658,br /><br />The film starts with typical American comedies like Thecat,br /><br />Production is terrible and a lot of the film looks more,0.0015049910289234,2443
** CONTAINS SPOIL,7872,ERS HIGHLY SPOILED.<br /><br />START POINT,ERS AFTERWELL BREAKING BOOKS (i.e. simple facts that,0.0007511964067817,1312
** HERE BE,2700, SOME MORE SUPPORT PRACTICES FOR BASIS AND the SPONSORS BLOG, GUYS FOR TRAVELING! it's seriously *****some *****story,0.9845873928861693,450
*** May,5760," 91, 1982) Adapted from a gospel song by Willard Potter. Cong", be for ZERO days. It's been over 50 years since I could see,0.9916176775004716,960
*** REVIEW MAY CONTAIN SOME,5418, EXFTINGS--oh Hazan's brother was well-known to all.<," SPOILERS IF NOT IF THE STORY AND, YOU KNOW WAIT! THE",0.9940213433001192,903
**** WARNING,7848,": IF you truly think this movie cannot be linked to that infamous ""What Asian",! The new Spoilers - if you read the backstory at all - will,0.001264622551389,1308
*****THIS REVIEW MAY HAVE SP,6690,OILED YOUR LIFE!<|endoftext|>,OILERS - DON'T SEE THIS REVIEW if you think Mexican cinema is,0.0006455007824115,1115
"*****WARNING, MAY",23970, HURT A MENU (THE SECRET TO HONG KONG), BE CAROLINA THAT SAID SOME SPOILERS IN HIS SMALLASS,0.0006705052219331,3995
*****Warning: May contain SP,11640,OILERS.End Labels = FOOD+DAW profile<|endoftext|>,OILERS if you unwrapped this review.<|endoftext|>,0.9865109147503972,1940
*****probably minor spoilers,19968, can't make up for the top 10. We got to say that they wanted," here. Once again: if you liked the beginning of the story, then see",0.8178894072771072,3328
****Don't,10296," come near this armored babe, hold her on! Eventually the entire movie ends and", ever give yourself too much credit. It's not deserving of 33 stars.<br,0.9934075629571454,1716
****MIN,18966,OR SPOILERS BELOW WATERS13 is a close-up of some,"ES JOAN STAY HAPPENING to go the whole film, but",0.6757674515247345,3161
***LIGHT SPOILER,990,: A friend's hung shack filled with food and clothes for her goon daddy,) tying these story hooks down. Everything else stopped somewhere over Blaine Coulson,0.987755759677384,165
***SPOILERS*** ***,1482,SPOILERS*** ***SPOILERS*** ***SPOILERS*** {normal,WHAT DID IT EXPECT ME TO DO IN THIS MOVIE? section 101 is,0.0070556693244726,247
***THIS POST,20094, CONTAINS ONLY SPOILERS UPTO THE END WHEN YOU SPEND L, IS THE WORST THING I EVER ACTUALLY EXACTLY READ BY,0.0043554821168072,3349
***spoil,10560,ers' - The cool thing about any corporate movie is that you get to watch,ers.<|endoftext|>,0.9779785461723804,1760
**1/2 for this,15462," one."" Rated R.<|endoftext|>", movie.<|endoftext|>,0.9874717164784672,2577
**MAY CONTAIN,15366, A MORE SEXUAL POINT<br /><br />Leadence (," RATS ""MAY CONTAIN RATS"" and other films by C.",0.1333015342243016,2561
**Possible,15336," even at the Berkeley proper. Well, why your not a horror movie in the","t"". Where couldn't he put a Cyrillic? I mean, did",0.007413299405016,2556
**Possible Spoil,13662,ers for the upcoming story detail problems which players might have with the film. Also,ers Guy - where? Probably Okay - G. Viper is not good but doesn,0.0089738992974162,2277
**SP,8292,"LENTY, SPOILERS AHEAD...] and you realise quite quickly",OILERS AROUND STORY DIRECTED BY DARK HORSE'S PIECE,0.9882945111021402,1382
*May,13860, award video of Capt. Allen Newman on Monty Python's 'The Pilli," that's for you."" Where about the raincoat and bed? Whew.",0.982752195559442,2310
*Possible,1254," Luck Positions to Tuning/Climbing ""Game"" Mod: """," we might get some survival, we acted, slept through the 30 min short and",0.9856326165026986,209
*Spoiler warning*,6672, ***SPOILER*** This is incredibly bad life. Don't even think about, I was severely disappointed with this one. It was the minor key feature only.(,1.3758079148800037e-05,1112
*may contain a spoiler,7926," ""THE DEAD CALL DESTINY"" by rookjensen is actually a"," after it comes to view, but first check out the edited transcript on IMDb",0.990431556943804,1321
- The movie,10314, starts with a clairvoyant in Dubai waiting for her husband -- a guy, was really ruined...the setting is totally different... I will be surprised if I,0.0035771533148363,1719
-might contain spoilers... but believe,17028," it or not, I'll tell you about it with all seriousness, IF you"," me. Of course that's just me, darned much of it.<br",0.0025226473808289,2838
... Bad at being,19032, pretentious and lazy. Most of the POV shots were filmed in the ghetto and," clichéd, dull and of no good use, Tarantino's changes tack on",1.731800148270003e-05,3172
... and how they bore you,10290, whereas they look much more American in Korean quality). What most sane people on earth,".<br /><br />Greta from ""Sin City"" did some",0.0008567764307372,1715
... but the keyword,1566," is used for it. How to say something positive is another story, leaning on"," ""funny"" in here is the fact that Boogie Nights 2 was a",0.982065306045115,261
... or an,13692," opera in which he is cast, I must say that if that was it would", American remake of a French play. Edward Mancuso does not move me,0.8376288250437939,2282
... so I,17376, very much recommended this movie to everyone else who appreciated movie that I enjoy.<br," can't help but reminisce about how THE greatest native-Chinese production ever,",0.0005592703819273,2896
... to not live,1152," for the sake of it all, since it's unfair to have to sugarcoat", up to the expectations of American audience.<br /><br />Wouldn't,0.0063931396580301,192
.... And after seeing this pile,9954, of cobwebs I've started dwindling to very little.Rachel Irving is, of laughable sexual references it does get even worse. If they were telling jokes about,1.2740492820999957e-06,1659
.... this movie basks,6726, to be dubbed in a dub English speaking country and tries to sell what is today," for the groaners. When quite frankly, everything is BS everything is a",0.0003990276018157,1121
......in a horror movie,3276,""". That's your movie for me. If you are comparing it to Savage Ro"," without the killing, which is truly an caught-all paraphrase of the end",0.9912044252268968,546
"....because if I was,",8136," I'd be very upset."" There's a lot of other factors here,"," I'd vote it off. Once again, there you have people being sued and",0.0194814104470425,1356
...am i missing,24570, out on this cinematic masterpiece hehaha)<|endoftext|>, something?<|endoftext|>,0.9950635626446456,4095
...and,6066, sad.....some parts even seem real...<br /><br />The acting," unfortunately this film would not add much to the hype. The plot, as pictured",0.9970958766061814,1011
...and it is,10320," becomes easier for me, I just need it to get thru a few more days"," really dumb - I mean, don't chuckle at someone if you really can't",0.997784007631708,1720
...because,15684," he is Marco Polo's prototype, not Johnny Storm of The Godfather to Yankees"," his idea was a movie, he started building the plots to make the last halfway",0.9128116990323178,2614
...but I regret,19194, it. I'm giving even a 2/10. I have my knicker, that it's not better. It had absolutely nothing going for it. I pity,5.200266605239997e-05,3199
...but i expected,17988, high-quality movie. ;) <br /><br />Don't blame the, a lot of unusual things to happen.!!!Since i've read bubble gum earlier,0.1265486478805542,2998
...but it'll make,13686, me laugh.<br /><br />We'd expect Ann and Rick to be, you forget it.<br /><br />If you want epic fantasy set in,0.0011628866195679,2281
...but this just,22710, works.<br /><br />The idea of the bright side of Rat A, didn't make sense! The characters were too weak and brought too much of an,0.9982718094834128,3785
...for,5994," dozens of bars, as a cozy night of drunken binge drinking with drink in hand"," you, we can all forget the agony of ""The Bodyguard"" and lose",0.0061921477317807,999
...from this awful movie,18762,. Really wow I can't believe someone is following all the ridiculous clichés which, I give this a 1 as well as a 1. A shocking ending and an,1.948385033700008e-06,3127
...let me count,4374, the ways  a huge bottle from Belgium will melt not only in a crack," the ways: full blown 50's Mick Jagger act, corny project,",3.163050860160001e-05,729
...not that,14610, big of a creepy story. It did take the York school to smuggle the," it is very exciting any more, but rather, the Evil cape is really not",0.9795425708289256,2435
...okay,1986,".Right, the first problem is that not only does everything work out good,",", actually, it was also not comparable to the classic BBC/BBC series with",0.0059754427056759,331
...that,2232,'s just wayworth it!<br /><br />If you love western,'s actually good 2/10<|endoftext|>,0.0007483363151549,372
...the child,11970," was shy and used to talking with her other admirers, but she had no", has been adopted and they can't be bothered to care about any kid. There,0.0005842383252455,1995
...then you'd,19296, think. Other than snaps with the fluid that made me WANT to strike a full, look at Rachel and now you'd look at Louisa and you'd see a,0.9946664154995236,3216
...there's no one else watching,16356,; we have an adoring family flirting with each other.<br /><, the movie but me. I don't have a problem with'my kids on,0.0009316205978391,2726
...through the similarly,23862," jumbled mixture of feelings, feelings of pity and disgust about death, but enough"," packaged US hotel shooting scenes, and is easily overlooked as he films his way out",0.9942095197038724,3977
...was so,9744,ooooopduing.tesla@yahoo.com<|endoftext|>," amazing! But no, considering it's a mini film I don't think we",0.9953069993061944,1624
...you,13848, can't wait for libertarianism's conservation of property --as much as Mrs., are a photographer. two can get lost really fastandon:18 Deaths Images of,0.9907397925853731,2308
"..Oh wait,",186," yes I'm sorry, I didn't get a ticket.<br /><br", did the child kill those gays because they have to be gay? hadn't the,0.0163067099638282,31
1 How is,2214," she so frantic whenever she gets back from the exile? Could this explain his """, it appropriate for Franco to put in a movie so transparently forced to phony heights,0.0039466388407164,369
1 is being pretty generous here,12984,. Sen is truly talented but I liked the ceaseless gust of wind in,", but not really. Trains are appropriately tanked, but getting a realistic",0.9904071092605592,2164
1. Aliens resemble plush,19002,", covers far from highly heated desert. They resemble Hollywood collages of blood and"," dolls with showy faces, hag heads and strange bodies. Over-sized",0.0014133611111901,3167
102 DAL,15732,APPLAINS<br /><br />The filmmakers need the money for this,"TON, ERICA THE TONIGHT are not concerned with the MWC drama",0.9928846128750594,2622
102 Dalmatians,15660, on the other hand are sacrificial pig men as they kill homeless men who finally, also gave this movie some bad reviews because they thought the cowboys and paratro,0.0012724170228466,2610
1937,6048,"). This movie is such a brilliant example of film making, from the murky p",) is such an astonishing romp. It begins with a dramatic tragedy that sums,0.0002720952033996,1008
1975's MASTER,10830, OF BLACK LANDS) is a Terienzo Russell movie. His looks and," OF HOLY BLOOD, there is now another version of the musical (Aff",0.0089112520217894,1805
1st,126," century, The Scoreunes, drawn from texts by Jung and Ksong's Gr"," Generation or 1932. Bob Van Auken is Michael Berry, who plays Edgar",0.0018699765205383,21
1st watched 12/26,20124,/10<|endoftext|>,/57. Not for the special FX (which made this movie go AWFUL,0.9935429148026744,3354
1st watched 4,10050,"/9 not because I disliked it, although it was penned by a fellow aboriginal", gruff few made us think why... So much for Ryan.. and for all,0.0137723088264467,1675
1st watched 8,16044, years ago. An original and amazing film about prison inmates in a forced confinement chamber,":11 in Bechestavery, The sheriff sees something strangely sensual, which",0.0015403628349304,2674
2 stars for Kay,2460, Lane and Buster Keaton. Original credit goes to Robert Jeaffet.<|endoftext|>," Morgan, nearly the only reason to buy it, which is a great twist.",0.0012964058551006,410
"2 stars, and I",13842, myself was really impressed by this documentary. Michael Medved's character has taut, even give it a very high rating. If you like Pedro Martinez-type fast,0.9814067285042256,2307
6/,714,"10<br /><br />As mentioned above, you have the two most",2 from the very beginning. It's impossible to focus on the terribly implausible,0.99648311448982,119
666: The Child starts as a,16026," flashback of film audiences know, but it is a helpful vehicle to tell our stories"," middle-aged man killed by a zombie with a gun and a baseball bat,",0.986834265291691,2671
96 minutes of this is cruel,8028,", short and disgraceful, maybe the most horrible film I have ever saw and", as hell. The Bing? What are you teasing? And did they get a,1.1436641216299975e-05,1338
:::SPOILER AL,9624,"ERT!<br /><br />Yes, also, there is the scene","ERT. For example, in spades, one drug kingpin - those guys",0.0017161909490823,1604
:Spoilers:<,222,"br /><br />The world we live in is heading towards a dangerous,",br /><br />What General Kioro did not know is that perhaps,0.0518460136372596,37
<br /,8478,><br />Overall Score: 8/10<|endoftext|>,><br />There were explicit bedroom scenes. Some did seem significant. As the,0.988111418671906,1413
<br /><,8802,"br />The shocking closing sequence beautifully watches straight through, a hell that favours","br />A year later, Captain Edmund Tarnovich (Diefenb",0.0117025971412659,1467
<br /><br,2886, />The brilliant thing about this horror flick is that it journeys into the minds of, />(The highlights of the film were: that silly scene where they see Frank,0.9975214189616964,481
<br /><br />,1242,"Dan Jurgens is good, as always, but there's a time for","Also, why can't any gods help a starving person with a heart of gold",0.9770689662545918,207
<br /><br />Although,16770," fiction, Nichols's available stories must be him - though admittedly he has more restrained", Eraserhead Not Complicated is not designed to handle invisible phenomena with minimal hand,0.9922777148894966,2795
<br /><br />One,21468, must contribute to the conversation concerning money and manners. Scientists should study the action and," of the problems is, Jimika, when she meets with Lil Paul by pitched",0.9966762368567288,3578
<br /><br />What,24798, I enjoy about this as a motion picture is that it deals with issues of interpersonal," is true of Wikipedia is true of American media. By its very acts, all",0.9921882953494788,4133
===minor spoilers=== <,10776,br /><br />I gave it a 6/10.<|endoftext|>,br /><br />The story project starts off slowly by luring Bobbi,0.9938807459548116,1796
> What a dud,2778,.<|endoftext|>,". You might expect it to be full of performance, all but one. I",2.9015762265800037e-05,463
"A ""friend"",",11094," in this case is Penelope, a wealthy young girl who has no earthly friends"," for no discernible reason, grunts when suddenly i say it (pre-",0.0070436321548186,1849
A BDS,4884,"M flick, and decadent kinky 'B' rated films by my friends",M scene while watching this film was funny/good<|endoftext|>,0.0002269744873045,814
A Cinderella story made for adults who,870," are not too reckless, but often burdened with something more serious than marriage.", actually cared about the characters. And they did. After seeing the better-written,0.0007283091545106,145
A Vietnam vet decides to,10446," enlist in fire fighting an army reserve, working as a psychiatric patient with himself.", send his daughter to a new country so he could try a cure for human sexuality,0.0012789964675904,1741
A bad,11388, reputation?) and yet the blue screen interpretation of SS Gomez must have been the best, rough cut. Avoid at all costs. Clothes are a transplant of plastic daily,0.997512443282176,1898
A bad rip-off attempt,8532," to Band-aid the staples of the original (the dragon monster), Dinosaur Jr",". The whole movie is an insult to every country they're in, or what",8.466828148800021e-06,1422
A bloody maniac,20022,", cut in and out character as he impresses crowd. Clever performance, directed", with a Ringmaster revolver turned the Stamping castle into a place for the wicked,0.9935183520428836,3337
A bum gives a Secret,15606, Service Agent a tour of the Body Shop to murder some prostitutes. Cosmo Ro, Service agent a bad rap in this television commercial. This is one of those films,0.0069652026868425,2601
A call-girl witnesses a murder,12918,", but she is captured alive by a fugitive from the family. She heads to",.<br /><br />Then the flashback. <br /><br />,0.9866724861785772,2153
A cast,16080, of actors John Amos and Weaver Harlan are weak although their way with which physicists, of serious actors can't manage to keep back the childish aspect of an admittedly genuine,0.001452615193557,2680
A charming boy and,9972, a man kicked into the sideways turn to make life tough for him on the island, a liberal forbearing man who can't really kill his enemies so eventually gets together,3.880262374889032e-05,1662
A cheap exploitation film about a,11004, young roughneck who falls in love with a position of power and makes the fall, young couple who try to get their very existence back out of the legal jargon of,2.1116109564899965e-05,1834
A childless couple (Bro,21774,oks) make a wise decision to buy a house in exchange for money and raise,ken timers in black and white) of vagabonds compete at yard races with,0.9817407056689264,3629
A comparison between this movie and ',17370,"Night"" will always be cherished. The movie and the plot are almost prizes in",Imagine Dragons' is beyond reasonable. Essentially the writer and director Andre Devos wears,0.9970179534284398,2895
A couple of farmers struggle in life,3060, because they sell their land to milking corks and buffalo hunts. The guy, as people given wealthy or important needs. The film tries to entertain viewers by having,0.9822243056260048,510
"A decent sequel,",1260, this one is far from perfect and just looks like garbage!<|endoftext|>," but it suffered from a lack of action and an inaccurate storyline, which easily takes",0.9622603252064436,210
A dedicated fan,4926, of sharp stuff...and just like all the good shows I've seen - I, of Necronomicon but only keeps this one in my wish list.<br,0.9935444882139564,821
A demented scientist girlfriend is,13644," kidnapped by the tomb, a villain from another dimension thought to be one of the", on the loose just to get himself a bit of treatment at the university. But,0.0023888740688561,2274
A disappointing film.<br,4776, /><br />Unless more women whose thighs will stop twitching and faster than, /><br />There is a terrible lack of original this December. Luke St,3.4878612496000005e-06,796
A doctor who is trying,13656, to turn the forces in Dr. Luke's spirit away and deliver a cure to, to create a police force wants to carry out a robbery. Bond is some kind,0.9739555902779102,2276
A dog found in,7320, a strip club crashed its flat onto a window ledge. After see if she run, the dead of a bus? Interesting idea.... It makes him look yellow. <,0.0014561598654836,1220
A dreary and pointless bit,6354," of reminder for the film-going public.<br /><br />So,"," of Hollywood-historical popcorn, Magic Mike scuttles it on thick.",4.233838990330002e-05,1059
"A dreary, hopelessly",14334," dull one, had little effect. Apart from the dreadful dialogue, the dialogue was"," convoluted, dull, bland foreign film, this was less likely to change your mind",2.979591954500025e-06,2389
