,prompt,chosen,rejected,diff,source_index
17,I have this," very strong expectation that this movie will be made, so if it may please you"," in consideration to ask,"" bringing it to the B party, it costs about $",0.9890684448182584,17
18,I think I will, accept the scepticism of the crowd I encountered. It's one of those movies, watch Danish TV again. I will watch all European Monastas for my work,0.00011926889419544562,18
19,Pros: Nothing<br /><,"br />""A Souls Of The Sea"" is fairly tolerable with some grace",br />Acting: Fassbinder-- Tim Burton's turtles look more,0.0060039104428142,19
20,If the," music is good, meaning the girlfriends are looking for some special time as teachers,", score would have been better this film would've got better credit reviews and certainly better,0.020715534687042236,20
21,1st," century, The Scoreunes, drawn from texts by Jung and Ksong's Gr"," Generation or 1932. Bob Van Auken is Michael Berry, who plays Edgar",0.00186997652053833,21
22,There's," going to be such a show on the way!"" nah, maybe next time", also comments saying directly about this movie. No i haven't heard of an action,0.0020907307043672,22
23,En route to a small, enough township where he is stranded is a 15 year old boy he loves. Baby," town, his family are attacked and when Michael starts movin' out through the",0.006957530975341797,23
24,Without wishing to be a kill,joy or to lose my Tom Kaczmarek in a horror movie from,"joy, what movie is here that succeeds? let it be Creepers while she",0.976900948677212,24
25,My girlfriend once, saw this movie. I'm looking forward to her VIP availability.<|endoftext|>, told me that my dad was so beautiful. Cruelly honest.<br /,0.0019245147705078125,25
26,Amateur, documentary speaker will give more insightful commentary than most documentary speakers but it must go to," journalist of the week"" who showed segments of politics outside the classroom.<|endoftext|>",0.005979657173156738,26
27,OK its, my favorite in the series with Johansson's readelf who is a weird mess, been a while.I've heard some complaints about how imitating Karsugi,0.9966353615745903,27
28,Some films that you pick up for, a rental before viewing them turn out to be gems. The movie isn't necessarily, widescreen presentation (although there are also films that will be RAWRAWED,0.009363174438476674,28
29,I received, a check from him as a gift happiness. Do you still like animals? Patient, it because of the enormous flow and when it was released it ruined their reputation.,0.9974768583197147,29
30,I have not," read Lord Of The Rings The Two Towers, but I know a fair bet that"," heard about it. If someone had, I would probably see it.""<|endoftext|>",0.0565182534046471,30
31,"..Oh wait,"," yes I'm sorry, I didn't get a ticket.<br /><br", did the child kill those gays because they have to be gay? hadn't the,0.016306709963828298,31
32,You have to admire," those parts, too! That move is brilliant! The road I stopped to stop"," them because they deserve who, they deserve this film, it is a very sad",0.995850162114948,32
33,THE ZOMBIE," -theermault show, circa 1978 look a little worse,Arthur opted to"," (1939), written by John Ryders, a young California Jew,",0.002973914146423451,33
34,A woman asks," me, ""What is history?"" (""So I remember...essay!"")",": ""What had happened to you during my time at work?"" George asks.",0.010716272518038701,34
35,"Really, I"," like this movie, amongst other things. It stars twins Emily and Angela. They"," debated with Childish Gambino about it more or less, and heard that the",0.008971571922302357,35
36,I rented this movie about 3, weeks ago and just sat through it. We sat through it the entire night., months ago. I can already picture Frisbee sinking to death with me.,0.9977098317467609,36
37,:Spoilers:<,"br /><br />The world we live in is heading towards a dangerous,",br /><br />What General Kioro did not know is that perhaps,0.0518460136372596,37
38,I've seen all," kinds of unfortunate images posted, but it pains me to say that there were something"," of them, so I will say one thing: DON'T SEE IT.",0.0004966486012563001,38
39,I very much looked forward, to this movie as a way to warm my soul to my genre-defying," to this decision,"" said Kathy Kavanagh, Jennifer Penzone Jr., Valerie",0.00011152029037486688,39
40,I have read," a wealth of oral histories concerning the priestesses' sexual behavior, and I had", the Japanese 'Castle of Dracula' or 'Hosenico III' in,0.9290480762720108,40
41,As a Southern," accent, the sound is akin to playing a home video station on a quality TV"," spectacle, Border films often include the use of military-style vehicles with welding iron",0.003118753433227428,41
42,WARNING: This review contains SPOIL,ERS. Readers are advised to recognize this as they may not understand why Holl,"ERS. Very disturbing. If you are a terrified and terrified person, bye,",0.0046912532998249,42
43,As a kid I did," take in this film, but it was by far the best film I had seen", watch the movie with my parents and had a deep sense of humor and even though,0.0004322528839111328,43
44,Jill, was able to fan the flames of love through her disdain for Jess. His agent,um Play Theatre that makes you mad. It is very slow and irritating - you,0.9980142736458221,44
45,This movie sucked.," I even saw the final 2 minutes too early. The sword fight sequence of """, Stupid things happen and misunderstandings happen.<br /><br />My friends and,4.0610320866000605e-06,45
46,Lifetime did it again," and just saw it again during an extended Tour in Badlands, France! As",. Grayson (Carl Gustafson) has seen enough of Nemanja to,0.016319215297698975,46
47,I have to say," there are an awful lot of good episodes here, and nothing makes me want to", this is the first character that falls into the stereotypical role of an Iraqi war prisoner,0.0015085784252733,47
48,The original," being a common misconception, most Indians agree that Kathy Bates and Charlie Daniels made fairly", idea was devised on the back of a tin pen and advertises that it's,0.9959387795533986,48
49,The annoying mouse and, the helmets is best got some laughs too. Mostly because the film starts abruptly., plot problems are the only business reason I could.<|endoftext|>,0.0003846265608445001,49
50,I saw this film opening weekend in," Dallas and was totally lost in the next life. The aspiring actors, who knew", the theatre because I was so soaked up like I was in a f**ing,0.9918782756431028,50
51,I saw this at the premiere, with my friends. I had never seen such a wonderful scene! Being an older,", Starwatch pre-season, about two years prior, and laughed hysterically",0.001089930534362793,51
52,Ned Kelly (,Hekto Ware) and his team perform by transcending 9 levels and and,drummer/apyrology degree from the University of Virginia) and his merry men,0.005803465843200573,52
53,They constructed this one as a, teenage comedy based on nature and honoring gold standard of acting in it as part of," ongoing hugely successful doozy, but it conditions me to agree with my friend.",0.00033551454544078485,53
54,This has to be, the best in the League of Legends series. Dead Milk gets like Ail'," the best case scenario in the whole movie which I'm sorry, but isn't",0.996775859151967,54
55,If the term itself were," such a crude term but that is where a movie is appropriate, if not essential"," just a ""healthcare"" product, see ""Workstation Last Stand"" for",0.9800734352320434,55
56,This movie, should be priced amazingly low. Didn't like all their reasons for investing so much, has gotten the worst rating from critics on IMDb who rate it as sick and,1.0275980457700074e-05,56
57,This movie never made it to, the big screen or he did after the best of intentions! I particularly like the, the theaters and expectations were met with barely a laugh. The only redeeming feature,0.9950437348452398,57
58,I thought this was a very," funny porn movie that was bad and laughable, but the movie got away with it"," worst film"".<br /><br />I thought Lynch was a very creepy",0.00034656253410500005,58
59,Ned a,"rived like an excuse to wear white, sir.<|endoftext|>", whole other suspect may have been at fault. Generally speaking these people had no connection,0.0032001681393013003,59
60,"From the very beginning,", the two characters soldier a chess game regarding chess with Chamis Vega and send a, Ian awaits his going off with an ex lover at the start of the movie.<,0.9832525271922351,60
61,I guess, you could say you have something to be proud of!! Anyway So I got the, the mafia's allies haven't seen the hand of the Presbyterians before; they,0.9805760616436602,61
62,I don't, mind toolessly carousing comments on the disc so I'll save myself the trouble," think that they could ever really learn from this one it just got to me,",0.0033135886769742,62
63,This movie was awful.," Zoe Saldana was particularly awful. Not ""awful"", but trying to"," It doesn't take itself too seriously, doesn't make every sex scene that it",2.7349451557000205e-06,63
64,Holy crap,","" says one viewer, *considering the luminaries who cast Lewis it most"," like that when anyone can justify NOTOTHER THats ""epic""?<br",0.0012740520760417002,64
65,SWING," ""winner of the USA's Hammer Magazine"" Pakistan Film Festival Critics Members Hall Exhibit"," WIDOW is about the obsessive, irrationally superior erotic of bored,",0.001723945140838512,65
66,There's not a drop of sunshine,! Maybe they just should've let us go to sleep because they can't find, to offer. You could cut down it by  gigantic spaceships!<,1.0680058039699999e-05,66
67,I like Goldie H,"awn."") My solution: Just make every drama you want to see. We'll","awn looks pretty, although she looks like Jane Fonda's Girlfriend... As",0.007332324981689342,67
68,Protocol is," perfect and this guests installation won the Discovery Channel 15"" Ed & Wintrich"," so tough, it's hard to remember anything the user hasn't said.""<|endoftext|>",0.997817491996102,68
69,When an attempt is made," to suppress these things (most prominently an imaginative ""City Lights"" and explanatory in", to find a way to convince the viewer to kill his best friend he strongly suggests,0.8347737789154053,69
70,"What does the "" Executive producer """, mean? *snort*)<br /><br />I thoroughly enjoyed this," mean, Carlson?<br /><br />""An Exodus"" was a",0.9968691790709271,70
71,Outlandish premise that rates, out one or two on something else. Funny film that'll just keep you guessing, as the classic example of film's that never get old will make any sense in,0.9897560236859135,71
72,There are only," few actors who could really take on Belanger, Gonzalo Levantes, Nik", two exceptions:reedgelandaCostin'The Muppets'. This,0.9898676155135037,72
73,The only good, thing was Graham Greene's performance. His acting style was outstanding. The two-, thing I can say for this is that yes any user who allows themselves to learn,0.9939076772425323,73
74,"I'm studying Catalan, and"," of course this is questioned as a very Catalan school of musicals,, but from", it is as if I come home either treated and destitute or just subjected to,0.9952979523222893,74
75,I was excited, at the size of a demon which hovered about the local swimming pool scene in," to see Darius' videos because I was quite social, so when delivery started to",0.0010831356048583984,75
76,this film was a major letdown," for me at the top of my list. Don't be fooled, this was",. It held back the offerings from other films brought down on it in an attempt,9.481562301500053e-06,76
77,"Three part ""","Milk"" is also worth looking at. One day Haruki, an assistant","themed"" alarm about Harry Claus and the cameos of Christopher Walken and the",0.9840980945155026,77
78,A very cheesy and dull road movie, about a group of teenagers trying to become fathers.<br /><br />I,. What do you get before a giant mosquito races a train since those people go,3.5206903703999736e-06,78
79,There are some nice shots in, here which was a simple Faulkner film. I've been hooked since I," it with the actors Olivier and Hannah Hurd, but it does seem to be",0.9970368711510674,79
80,When a man who, resembles Michael Mallory attempts to regale us with immortal ramblings about murder, plays the part of a London ex-cop keeps demanding his retirement exactly the opposite,0.0003458390710875999,80
81,I have," had the opportunity to see ""The Wolverine"" on a very screen by this date", no reason to believe they can be trusted even with their talents spot a 2nd,0.992019199882634,81
82,As the number," of murders jumped from three in 1930 to 200 in total, yet for a So"," of films has declined, and with filming efforts out of town fanatical through the",0.9836747767403721,82
83,Not sure if I'm," watching an avant-garde film such as this or not, but I"," a fan of Red Dead Redemption's historically accurate portrayal of gun proud Rifts,",0.9801184237003326,83
84,This video nasty,"), to begrudgingly comes under the hammer and if you watched it,", dog keeps getting on my nerves! Why the hell does it have a strong English,0.0008934192010201,84
85,Of the," kids, they think. Doesn't matter if something heinous breaks out, they go", dog-spolato makers are that you don't spend the whole movie describing,0.0106269390089438,85
86,How can you tell that a horror, movie doesn't release an 8? Even with that low budget it's going to, comedy could be so tense? I give this movie 2 stars just to show the,0.0006217702175491,86
87,A model," at center, who can't help being an oft recited character in films,", of a flat Topro assault henchman model adapted for television.<br /,0.007077813148498646,87
88,An actress making a," film with her gorgeous country bump will do just fine with his brow. However,", potboiler for nooses 2 hours thick is the only thing to give her,0.9944713495788163,88
89,or anyone who," is highly intelligent enough to be able to comprehend this plot, appreciate that this series"," can read Chinese!).Despite being a dunderhead wormhole, both Ron Perl",0.011590659618377686,89
90,Devil Hunter gained," both the right to crusade against the terrorists, and the right to vindicate himself"," a scientific advantage in a secret Vatican archive (so-called ""deep-space",0.0035246610641479492,90
91,This film seemed way too long even," to register on IMDb, while Mony Shale went so far over the", for a TV channel. Whereas it wouldn't have flown in the realm of SW,2.730754204100048e-06,91
92,Sexo Cann,"ibal"" Dick Van Dyke works closely to his beloved Dark Lord that crime is",ibal' and before Columbine.<br /><br />There are words to,0.012085378170013428,92
93,Not only is it a," pointless attempt to integrate literature into seedy life, it is also a basic"," pointless film, but it is also an atrocity that neither Take Highly Enough nor",1.2736418283999839e-06,93
94,This is the, most brutally honest and full representation of a woman's part I have seen in years, movie of mind when a large group of enthusiastic young women and men rush to the,0.0013588666915893555,94
95,"Sometime in 1998,", the Soviet Union occupied the Eastern European countries of Denmark and Sweden for about 9 days, heavy use of Dracula's casting got under way. He was already a lousy actor,0.0136851887800731,95
96,This is," actually better, when you consider the way MCL or the Extra-Terrestrial", ten minutes of really good music in one mediocre movie.<br /><br />,0.9861833886243403,96
97,I did not like," it! Kinda lame!""<|endoftext|>"," this movie and I warned you about it."" On the positive side: Frank Cap",7.265480235200028e-06,97
98,I cannot, settle any claim for making this movie. I told you sitting back that I liked, imagine anyone bothering to give comments on this piece of garbage. Their blame should race,1.3326061889000138e-06,98
99,This film is," an excellent example of Israel's amazing bravery in the face of external threats, providing", not too bad. The way many people get killed in it looks like it could,0.9334930777549744,99
100,Terrible,"!"" and then there's Tommaso holding a badly fired gun, as"," Movie. Thank you for being an artist, not an actor or a writer.",3.091932740000025e-06,100
101,Assuming this," drivel, the story does not go far enough.<|endoftext|>"," happens to co-payors of short films, surely they will be better off",4.379183519629998e-05,101
102,Sometimes a movie is so," great, you couldn't really resist. All in all, if ever found an"," evil, and so cheap, that you hate it managed. I would never recommend",0.9981413395144048,102
103,I have to congratulate," you for inventing a German music video for Crypt Boy, what a work."," the writer, Joanna Fraser. Since we are short, let's use the",7.2479248046875e-05,103
104,I rented this one on DVD," last year and when it came out, I expected sequels and found myself playing it",.Most muzak played konzaki.CharacterClassic: Gon'A,0.001276075839996449,104
105,I saw," ""Elton John"").While ""The Court Lady"" is supposed to be a"," some nice Eisenstein shorts, but I had to take a chance, because this",0.01584404706954956,105
106,What was, Clindell's attempt to advise us about The Avengers before building this from any, in this movie?!! What I thought was funny about with that movie was the,0.00032449053833259994,106
107,This movie was terrible,","" I read the review as the writer of the movie responded. ""They thought",".. like you are supposed to be to avoid spoilers, there is a rising sun",5.453126505000042e-06,107
108,I am a big fan, of the Tom Berenger classic. The visuals are pretty good but there is, of K-9 but i am very disappointed. The director did a good job,0.998196339700371,108
109,This is an art film that, I really like. It also scratches a nerve with certain parts of the other films, spends quite a lot of time talking about the various aspects of life. Some of,0.0001264810562133789,109
110,Nine minutes of," loving play live on thanks to a pretty low-rent theater, they're at"," viewing on a laptop.<br /><br />Danny: I was like,",0.9932147269137204,110
111,There are lots of, fans who have seen the movies already. You need to find these ones before you, other characters that could get chills out of watching this movie.<br /><,0.9938926007598639,111
112,This is it. This, is the genius of the Academy Award winning year of 2008. From the opening credits, movie sucks. This is a movie by Kevin Spacey's son. SEND,0.9977853234158829,112
113,There are times when, Paupot and Zennen were on a collision course -- Dooley to Dav," Willis is as stretched out as he is, because he is being mercur",0.0005527990870177,113
114,"Weak plot, predictable violence",", unwatched dialogue, wiccan character design... etc.. and entries in",", and amateurish acting. This quiet action flick could've been a great a",1.130090095109997e-05,114
115,All I could think of while," still approaching this film were a couple of ideas, 'Camouflage' is", watching it of other VHS tapes I have low memory and non consultation memories.<,0.0039945532917045,115
116,If you look at Corey Large's," work as a storyteller, he effectively showed a man who, at one"," DVD, you might think there was advertised an interview with him about consciousness in the",0.9941214909777045,116
117,This film had, a very effective script. Jerry Palski felt that this film would appeal to," me shouting ""teenager!"" one night and couldn't get my fears up to",0.01147723197937034,117
118,This is one," of the least overt references to time manipulation that I have ever read, and very"," of the worst movies, and disappoints with a very low budget or sex.",0.9978294291067868,118
119,6/,"10<br /><br />As mentioned above, you have the two most",2 from the very beginning. It's impossible to focus on the terribly implausible,0.9964831144898199,119
120,This is," well narrated, as it maintains a rather intellectual feel about a character that is incredibly", a must see. All I got were stab wounds to my face. My friends,0.00014519691467285156,120
121,From the," outset of the movie, Christian takes her newsreel capture with him to the", very beginning he has a vague idea of the futility of war that ignores the,0.9964141417294742,121
122,I basically, tried to sleep the night away till I was old enough to lose the tugging, turn off my fw and whiff my pisively with commands that are probably effective,0.0016546188271604001,122
123,This fanciful horror, movie tells us about a mysterious group of people walking through the forest of an old, where Lucio Cunha would appear as a plain weighty Latinmologist,0.9944272832944991,123
124,If I had not read Pat Barker,"'s monumental piece on the microculture depicted back in The Crap Post, I","'s brilliance even when I first saw Barker's ""Headcrusher"" (1972",0.006314635276794323,124
125,I saw the capsule," plus the all star action, the HK's at first very much where your heart"," with Mike Piazza, my friend one time. He recently got a n",0.0035802721977233887,125
126,Robert DeNiro plays the most, obscure Washington Post reporter on America's news after a scandal vanishes. Perv, annoying single character on this show. His goofy face still remains annoying after most of,0.9962738985195758,126
127,Story of a man," trying to make an honest personal decision. To generate mischief with his life, who", restored through a knot. Largo Clark plays the country hero Sgt Biggs.,0.0008384585380554199,127
128,Are you familiar with concept of children, taking animals to their first child's birthday party? Considering that as a children's,"'s movies before this one, just watched it which I refuse to do with you",0.9720710194087586,128
129,"Ah, Bait. How do", you know ya like it when it's just the thrills and the closeness," I say this? As a humble, evergreen Indiana farmer, I have hundreds",0.02654385566711437,129
130,The premise of," Clarke and Kafka's novels is individualistic, and in our society, Marlow", this movie is various twists and turns that always make you cringe. It's REALLY,0.995863372052554,130
131,Uninspired direction leaves a decent cast," behind and is painful to watch, though. <br /><br />So"," to work with. Unfortunately, my personal opinion as to why you couldn't get",4.059635102699973e-06,131
132,I was sooooo,"oo excited then, and sooooo excited so despite what you may think were rumors", grateful. Even before She Ren Di Giorno's photography on The Stella Birch Show,0.00031429529190052374,132
133,Having seen three," or four films where the movie covers the entire world, this is a film I"," different films, it seemed like each one had its ups and downs, but this",0.9923256756737828,133
134,Saw this movie, of the cursed. It couldn't be better. Hollywood's executives decided to spend, is Hurtado getting away with crime. A stupid movie. And I say this,0.9974905139533803,134
135,When will," he be released to Go Ahead, the hold still runs he signal horses, towards", this film rank? Probably it won't.<|endoftext|>,0.0020672141108662,135
136,It was 9:,39 in my view of how horrific the ending of a beautiful one piece movie should,55. I already found an hour ago. I walked through the gates like ninety,0.0057049392489717,136
137,This is blatantly a futuristic adaptation,. The way Renner's face fits into it makes me watch it with interest," of the Puritan era technique to make a short film. It's fuzzy,",0.9943765436764807,137
138,Beyond a," short while I was hooked, mixed a little romance and memorable cast with action I"," show meant to be funny, now it's a show with a hilarious Matthew Mc",0.00030618906021118164,138
139,The silent one,". And, yes, the first 10 minutes is very sweet. They explain deep", { for her wore what seemed to be something alarmingly close to the climate for,0.010159671306610218,139
140,William Russ is the main character throughout,. His bottom line service is very evident in the situations portrayed. We get to,", a rookie Ranger who is later referred to as the Neighborhood Winger",0.002135455608368031,140
141,From a poorly," run production, the Producers were generous, but the film seemed truncated,"," intended comic, the plot is too far-fetched.<br /><br />",0.0010393076227047,141
142,In director," Winona Ryder, swoon inducing, the Wall St. film opens fires,"," Mitch Partridge (who, like Doyle in Rah Story, is not that people",0.9916875748895111,142
143,I never like to comment on a," new film, so make sure to leave comments if you haven't seen the movie"," passage of a book, but it doesn't matter, so best not to waste",0.0018643740331754002,143
144,I won't say this," is Krampus' worst screenplay, but for no other reason than that it", one has an ounce of bloom. But it does. It's far from pleasant,3.3001415432000383e-06,144
145,A Cinderella story made for adults who," are not too reckless, but often burdened with something more serious than marriage.", actually cared about the characters. And they did. After seeing the better-written,0.0007283091545106091,145
146,After being hugely entertained," (luckily), it turns out to be good for free (although not very"," by her cult following in the first half of the century, Denise Cassel put",0.00020939111709594727,146
147,I very nearly," fainted and he grabbed off my trachea."" As described in the IM"," lost a star in the movie! I thought when i saw this movie, at",0.0013991112355143,147
148,The fine cast cannot uplift," ice-skates. His latest book, scenario 21 Phoenix, is a potent", him. They wasted something wonderful. Something that could have been a real one.,0.9954911072272807,148
149,"This film was choppy, inco","herent, fraying, a little rough, and the one annoying bit Arro","herent, and often full of tedium. Other than the motif of torches B",1.3317738193999954e-05,149
150,This film is a calculated, exercise in cultural ineptitude concerning the war experience. Universal hacktivism is tolerated, exercise in offhand observation; even most Americans will do a much more accurate examination,3.013177774900005e-06,150
151,This had to be one of the, scariest movies I have ever seen. Daniele's cheeks were ice, stupidest movies I've ever seen in the past couple years. The acting was,0.9962741165654735,151
152,This starts," their improbable trajectory, from Austin (who seems to be taken by the mystery and"," off with slightly controversial remarks about war. He says war changed politics, saying veterans",0.95860118791461,152
153,This was awful. And, believable... Cool! <br /><br />The film had a little over, I was so excited for it! I still don't enjoy all original material like,0.00014160922728480004,153
154,Caught this on IFC yesterday,...and still watch it all the time. I'm a big fan of the, and in the meantime I can say it is a must see film. And I,2.3126602172851562e-05,154
155,I thought," I loved it! I mainly liked the plot, exposed to the rage and desperation"," the fight was a tight race, but by the end I stopped getting lost.",0.0011007189750672497,155
156,Was this meant, to be an effort intended to spark a political movement? -- but who cares?, to make Will films a thing?<br /><br />I've been,0.00039780745282769984,156
157,Andie McDowell is beautiful as," Connie Clarke, is Jeff Daniels a comedic genius, is Grace Herrmann a"," her old lady self and competent at things, but, again, she's not",0.9968653117539361,157
158,SPOILER:, Ending.--Feblet's sister is kidnapped in the faith of her boyfriend.<br, Grayson Allen Grier appears (laughably) as the delicious looks of a pet,0.2127767279744148,158
159,The worst thing about Crush is, the stills almost scarier than a disco opinio* or a Miami rendition, that the only characters in the movie are kids....because their names are less then,0.0071850469685159,159
160,Not a `woman,"` is caught in a true plain-looking murder scene, but she had a", is a good thing' fan. I would have liked to know more about Am,0.9811738515272738,160
161,As a," fine (and appropriately American) comedy, The Brain is fast paced enough that the"," movie with so much material thrown together what little doubt is thrown in, I'd",0.9982166847330518,161
162,I was gifted with this, Gene Simmons role early on and I'm proud to say I actually loved the part, knowledge before I had realized that the only thing that gave my wife who never left,0.9401396252214911,162
163,"""The Crush"" is a"," haunting and bittersweet meditation on love and Nature and about psychological pain, being torn", nearly hard-edged piece of moviemaking; with a forced romance between Lena Johnson,0.9975326126441358,163
164,it MIGHT have been, hurt more than Donald Trump's thousands of supporters in Alabama!!! Open H drive were, teenagers before it got to the big screen... just plain stupid things.<br /,0.0009355469956062,164
165,***LIGHT SPOILER,: A friend's hung shack filled with food and clothes for her goon daddy,) tying these story hooks down. Everything else stopped somewhere over Blaine Coulson,0.987755759677384,165
166,This is," the only character in my hand that I have ever cared to touch. Yes,"," nonsense - my Generation did not have the traffic lights wrong, the police found that",0.9952707546181045,166
167,I am," also a believer that when Gary Jeep runs your business, he triggers the right"," still skeptical about the movies as critics, but one thing after another these early dict",0.012300848960876354,167
168,I am, intrigued by Purelys' theories and abilities! I am also a big fan of, trying to figure out who this mangled oldie popcorn is. The blonde woman,0.9981145106721669,168
169,Considering that this movie," is daily watched with the masses in the Ministry of defence out on the beat,", is basically hoping to draw attention from Pope Francis' lamented Cuban of course. Aside,0.9959468122106047,169
170,"Yes, indeed, it could have"," been if guns weren't the most deadly weapon, that a Division Commander just about"," helped popularizes the phrase, ""The Love Machine"", whose melodramatic",0.057564377784729115,170
171,Closer to, him/her like Harry Truman to John Wayne...)and make up for most of, reality than I thought it might have been.<br /><br />The performances,0.0001207590103149414,171
172,Hilariously obvious, and hilarious. Director Burston never get a chance to get involved with something absolutely,", IMO (if you could throw the word ""Trip"" in a",0.8962938287295401,172
173,Maybe you shouldn't," take your camera Lightstar, go do it yourself, ""quite right"" folks", go on spewing your canned tirades there - get outta here Mike.,0.0026479193475098,173
174,I could never," really know whether he was going to be prepared for being turned around, try as", understand their reaction. About a third see Mystery Science Theater 3000 reviews in the cable,0.0005304502556101,174
175,Horrible film with," Donald Sutherland. No suspense, nothing taught. Sutherland is just passable, but", a terrible script. **2/10<br /><br /><|endoftext|>,1.6539706848999781e-06,175
176,This movie is," an excellent take on American hazards. There's not a trickery or ""no", being talked about by all the mainstream Hollywood that can't seem to raise the issue,0.9959598749410362,176
177,I gave this, movie a 9 out of 10.<br /><br />The people who say, thoroughly uneven performance a 3.<|endoftext|>,0.9981317167403176,177
178,I jumped at the chance to, see this because Kent Shaw is hilarious in this obnoxious old guy role. Shaw lets, pound some glittery lesbian into a support bag (its lemon meringue nothing,0.3149951696395874,178
179,The perfect murder is fo,"iled only in kind, and their family is murdered in surprise! I wonder if",iled when they suspect an increasingly insane Frank Apuzzo. Their killing plan consists,0.9765988439321517,179
180,"Well,", I've enjoyed this very much.<br /><br />It's an intelligent," I didn't plan on this very much, we're sure there's a price",0.9962398076895623,180
181,That's not the," end of the series, or the end here. She hoped to be making ("," case here Franklin, it was a pretty good actor with a screen passion and",0.0037444474291986997,181
182,Iberia is nice to see, it. Another acceptable TV role to watch. An SNL-quality collection.,. It was very uncreative.<|endoftext|>,0.9981436654925347,182
183,That reviewers," have essentially ruled out nystated models like this one. No, it"," say they know nothing about this film, which really isn't a big stretch.<",0.0007156755309552001,183
184,This is," about the adventurous eye for justice, and the unusual eavesdropping, sense of ominous"," a good multi-genre, one that relies specifically on stomping the boy.",4.935264587402344e-05,184
185,Burt Kennedy used to be a, part of my childhood and I think his peer group had all but disappeared from my," media mogul - at once for the ""big fat tax man"" Gene Simmons and",0.016135543584823598,185
186,While being," very low energy and soft, this film is quite funny. Michael Jackson is a"," responsible, obviously, of defending gays they really did promise nothing! And yet here",0.9942950713448225,186
187,This movie is flawed on many, levels; but in a nutshell: There may or may not be an explicit plot," levels: it is not suspenseful, it is not suspenseful with cinematography",7.819442544099945e-06,187
188,Slow and riddled with," predictable situations, Bergman meticulously brings us along, showing us problems whether witness scenes", gore. The anachronisms are weak - a little sensationalised - but,0.9951800848939456,188
189,"This film, The"," Liger, takes us on a journey and asks us a question. Believe me"," Trouble With Baby In Paris (1995), which was current at the time of its",0.008044660091400035,189
190,The story by Norman, Reedus and Scott Thomas is bound to hit l.p. on action and, Jewison. Torn to pieces by twelve year old Nathan's homophobic mother who has,0.9826232902705669,190
191,The only," problem was, sometimes it was awful! Even so, I think I never was"," problem I had with this was that, no-one else in our vote did",0.9710038620978595,191
192,... to not live," for the sake of it all, since it's unfair to have to sugarcoat", up to the expectations of American audience.<br /><br />Wouldn't,0.0063931396580301,192
193,I always felt, sorry for the tipi Indians before they got the mild-mannered atomic suit, like I lost time by watching commercials and hearing spontaneous lines by ProfoundMutant,0.9681335373315961,193
194,This movie has beautiful scenery.," It delights in sharing with its viewers unfiltered stories, genuine scenes,"," But alas, my obsession is with the humorous aspects of the plot. For many",0.006988942623138428,194
195,This movie has beautiful," casting, so that even intellectuals and cynics cannot deny the fact that it does", colors. Colors make the movie technologies invisible to us.></hippaspm,0.0014434456825255237,195
